Label, Filename, Source Document, Alt Text
SAMPLES_CONT_1,SAMPLES_CONT_1.png,17. Sample Prep Continued,MechPanda's design showing a mounted sample inside the disassemled halves of the probe assembly
SAMPLES_CONT_2,SAMPLES_CONT_2.png,17. Sample Prep Continued,"The samples area showing where bias wire and bias voltage affects the bottom of the sample mount, where it magnetically sits"
SAMPLES_CONT_3,SAMPLES_CONT_3.png,17. Sample Prep Continued,A sample mounted in Dan's version of the probe assembly
SAMPLES_CONT_4,SAMPLES_CONT_4.png,17. Sample Prep Continued,"Our diagram of the layers of sample area including the magnet base, conductive tape, a removable sample magnetic disc with conductive glue finally a sample such a gold foil"
NOISE_1,NOISE_1.png,20. Resolving the Preamp Noise,"A zoom in at a custom built region of our preamp that uses a series of three capacitors, as well as 2 resisistors in series - providing a cheaper alternative to more expensive higher farad components. More detail on building this is needed"
READING_1,READING_1.png,21. Unit Assembly Readings - Solving Ground in Assembly,A noisy initail reading is shown for a set up where our signal +/-4 at e^-11. This is for Motor Powered AND casing grounded with wires.
READING_2,READING_2.png,21. Unit Assembly Readings - Solving Ground in Assembly,"Now showing a better +/-2 at e^-11 with With NO power on Motor, and casing grounded"
READING_3,READING_3.png,21. Unit Assembly Readings - Solving Ground in Assembly,Osscilations between readings showthe probe is crashing occasionally into the surface
READING_4,READING_4.jpg,21. Unit Assembly Readings - Solving Ground in Assembly,The first version of our version of a probe assmbly using a clam shell design. This was later depricated for new assembly designs.
READING_5,READING_5.jpg,21. Unit Assembly Readings - Solving Ground in Assembly,Some of our group doing initial testing
SOFTWARE_1,SOFTWARE_1.png,22. Software Usage Documentation,Bias in the GUI set to 33314 - proving about 0.05V a good starting point for quantum tunneling effects. This is a simlar range to mechpanda and dan's design
SOFTWARE_2,SOFTWARE_2.png,22. Software Usage Documentation,"The sample bias circuit diagram on the left, with the preamp circuit diagram on the right"
SOFTWARE_3,SOFTWARE_3.png,22. Software Usage Documentation,Random testing demonstrating a tip plung (notic how sample reading go from e^-11 to a square wave near e^-7
SOFTWARE_4,SOFTWARE_4.png,22. Software Usage Documentation,"GUI region where you initialize BIAS and numer of steps pin a motor_move function. 500 is the threshold to start with, and 1 is the # of steps in a move_motor function. "
SOFTWARE_5,SOFTWARE_5.png,22. Software Usage Documentation,"A view of the voltage on the peizo Z during the approach sequence. Notice how the piezo protrudes as the saw wave decends in steps, then pauses briefly as the stepper motor takes another larger scale approach step. The stepper motor step is consider coarse, add only the peize Z-axis probe steps are considered fine approach. All forward approach is stopped as soon as quantum tunneling current above a threshold defined as 500 in the GUI is detected."
MECHANIC_APPROACH_1,MECHANIC_APPROACH_1.png,23. Mechanical Optimizations,Demonstration of the clam shell version of the approach showing 0.5mm/rev with 4096 steps/rev = 0.0001220703125 mm of assembly approach / step of the stepper motor
MECHANIC_APPROACH_2,MECHANIC_APPROACH_2.png,23. Mechanical Optimizations,An alternative stepper assembly for the probe assembly with 0.0001220703125 mm/ step approach
MECHANIC_APPROACH_3,MECHANIC_APPROACH_3.png,23. Mechanical Optimizations,A ramp alternative to the clam is proposed
MECHANIC_APPROACH_4,MECHANIC_APPROACH_4.jpg,23. Mechanical Optimizations,Off the shelf components showing what the ramp could be
MECHANIC_APPROACH_5,MECHANIC_APPROACH_5.png,23. Mechanical Optimizations,A sketch of the ramp assembly concept
MECHANIC_APPROACH_6,MECHANIC_APPROACH_6.png,23. Mechanical Optimizations,"A third design, not used, a piezo rod"
