Label, Filename, Source Document, Alt Text
"Primary Board PCB Components.image3","Primary Board PCB Components.image3.png","Primary Board PCB Components","16 pin chip circuit diagram"
"Primary Board PCB Components.image4","Primary Board PCB Components.image4.png","Primary Board PCB Components","16 pin chip with 2 opamps circuit diagram"
"Resolving the Preamp Noise.image1","Resolving the Preamp Noise.image1.png","Resolving the Preamp Noise","green circuit board closeup picture"
"STM General Notes.image1","STM General Notes.image1.png","STM General Notes","Square base plate hole is optional"
"STM General Notes.image2","STM General Notes.image2.png","STM General Notes","Hybrid Module springed plate"
"Sample Prep Continued.image1","Sample Prep Continued.image1.png","Sample Prep Continued","gold foil on material stack diagram"
"Sample Prep Continued.image2","Sample Prep Continued.image2.png","Sample Prep Continued","3 ball bearings on aluminum measurement stand picture"
"Sample Prep Continued.image3","Sample Prep Continued.image3.png","Sample Prep Continued","3 ball bearings on aluminum measurement stand and copper foil picture"
"Sample Prep Continued.image4","Sample Prep Continued.image4.png","Sample Prep Continued","sample charged to bias voltage and bias wire picture"
"Samples Planning.image1","Samples Planning.image1.jpg","Samples Planning","gold foil picture"
"Samples Planning.image2","Samples Planning.image2.png","Samples Planning","youtube video screenshot silver square"
"Samples Planning.image3","Samples Planning.image3.png","Samples Planning","four magnets under copper foil"
"Software Usage Documentation.image1","Software Usage Documentation.image1.png","Software Usage Documentation","triangle wave computer plot"
"Software Usage Documentation.image2","Software Usage Documentation.image2.png","Software Usage Documentation","color and black and white opamp circuit diagram"
"Software Usage Documentation.image3","Software Usage Documentation.image3.png","Software Usage Documentation","Panda STM gui current spike"
"Software Usage Documentation.image4","Software Usage Documentation.image4.png","Software Usage Documentation","Panda STM gui Approach 500"
"Software Usage Documentation.image5","Software Usage Documentation.image5.png","Software Usage Documentation","Panda STM gui Bias 33314"
"Unit Assembly Readings - Solving Ground in Assembly.image1","Unit Assembly Readings - Solving Ground in Assembly.image1.jpg","Unit Assembly Readings - Solving Ground in Assembly","copper foil'ed sandwich"
"Unit Assembly Readings - Solving Ground in Assembly.image2","Unit Assembly Readings - Solving Ground in Assembly.image2.png","Unit Assembly Readings - Solving Ground in Assembly","Panda STM gui random signal"
"Unit Assembly Readings - Solving Ground in Assembly.image3","Unit Assembly Readings - Solving Ground in Assembly.image3.png","Unit Assembly Readings - Solving Ground in Assembly","Panda STM gui random signal 2"
"Unit Assembly Readings - Solving Ground in Assembly.image4","Unit Assembly Readings - Solving Ground in Assembly.image4.png","Unit Assembly Readings - Solving Ground in Assembly","Panda STM gui spikes signal"
"Unit Assembly Readings - Solving Ground in Assembly.image5","Unit Assembly Readings - Solving Ground in Assembly.image5.jpg","Unit Assembly Readings - Solving Ground in Assembly","workspace picture"
"Untitled document.image1","Untitled document.image1.jpg","Untitled document","thin wire ends"
"Untitled document.image2","Untitled document.image2.png","Untitled document","3d printed knobs"
"Untitled document.image3","Untitled document.image3.jpg","Untitled document","frayed spiral copper wire bundle"
